District,Primary Type,0
6.0,GAMBLING,0.145190562613
6.0,HOMICIDE,0.181488203267
6.0,INTERFERENCE WITH PUBLIC OFFICER,0.508166969147
6.0,INTIMIDATION,0.021778584392
6.0,KIDNAPPING,0.0798548094374
6.0,LIQUOR LAW VIOLATION,0.0580762250454
6.0,MOTOR VEHICLE THEFT,3.55716878403
6.0,NARCOTICS,9.05989110708
6.0,NON-CRIMINAL,0.00725952813067
6.0,OBSCENITY,0.00725952813067
6.0,OFFENSE INVOLVING CHILDREN,0.769509981851
6.0,OTHER NARCOTIC VIOLATION,0.00725952813067
6.0,OTHER OFFENSE,5.64791288566
6.0,PROSTITUTION,0.275862068966
6.0,PUBLIC PEACE VIOLATION,1.03811252269
6.0,ROBBERY,4.6388384755
6.0,SEX OFFENSE,0.203266787659
6.0,STALKING,0.065335753176
6.0,THEFT,19.4918330309
6.0,WEAPONS VIOLATION,1.75680580762
7.0,ARSON,0.319027725028
7.0,ASSAULT,7.93771363464
7.0,BATTERY,23.8890998861
7.0,BURGLARY,5.21838207368
7.0,CRIM SEXUAL ASSAULT,0.516521078618
7.0,CRIMINAL DAMAGE,9.40372199013
7.0,CRIMINAL TRESPASS,2.49905051272
7.0,DECEPTIVE PRACTICE,3.44094189138
7.0,GAMBLING,0.303835928599
7.0,HOMICIDE,0.319027725028
7.0,INTERFERENCE WITH PUBLIC OFFICER,0.865932396506
7.0,INTIMIDATION,0.0379794910748
7.0,KIDNAPPING,0.136726167869
7.0,LIQUOR LAW VIOLATION,0.0151917964299
7.0,MOTOR VEHICLE THEFT,2.90163311812
7.0,NARCOTICS,11.766046335
7.0,OBSCENITY,0.00759589821496
7.0,OFFENSE INVOLVING CHILDREN,0.691226737562
7.0,OTHER OFFENSE,5.49943030763
7.0,PROSTITUTION,0.638055450057
7.0,PUBLIC PEACE VIOLATION,1.4736042537
7.0,ROBBERY,4.48917584504
7.0,SEX OFFENSE,0.212685150019
7.0,STALKING,0.0227876946449
7.0,THEFT,14.9867071781
7.0,WEAPONS VIOLATION,2.40789973414
8.0,ARSON,0.21799445105
8.0,ASSAULT,5.6546439424
8.0,BATTERY,15.6097238737
8.0,BURGLARY,7.74210595851
8.0,CRIM SEXUAL ASSAULT,0.455806579469
8.0,CRIMINAL DAMAGE,12.9409433214
8.0,CRIMINAL TRESPASS,2.10067380103
8.0,DECEPTIVE PRACTICE,4.85533095521
8.0,GAMBLING,0.138723741577
8.0,HOMICIDE,0.178359096314
8.0,INTERFERENCE WITH PUBLIC OFFICER,0.488836041749
8.0,INTIMIDATION,0.0396353547364
8.0,KIDNAPPING,0.132117849121
8.0,LIQUOR LAW VIOLATION,0.118906064209
8.0,MOTOR VEHICLE THEFT,4.51843043995
8.0,NARCOTICS,8.03937111904
8.0,NON - CRIMINAL,0.0264235698243
8.0,OBSCENITY,0.0132117849121
8.0,OFFENSE INVOLVING CHILDREN,0.911613158938
8.0,OTHER OFFENSE,6.85031047695
8.0,PROSTITUTION,0.653983353151
8.0,PUBLIC INDECENCY,0.0132117849121
8.0,PUBLIC PEACE VIOLATION,1.57220240454
8.0,ROBBERY,3.23688730347
8.0,SEX OFFENSE,0.343506407716
8.0,STALKING,0.0198176773682
8.0,THEFT,22.0438631259
8.0,WEAPONS VIOLATION,1.0833663628
9.0,ARSON,0.262812089356
9.0,ASSAULT,6.50021901007
9.0,BATTERY,18.7297415681
9.0,BURGLARY,5.94831362243
9.0,CRIM SEXUAL ASSAULT,0.350416119141
9.0,CRIMINAL DAMAGE,12.3258869908
9.0,CRIMINAL TRESPASS,2.42663162505
9.0,DECEPTIVE PRACTICE,4.16995181778
9.0,GAMBLING,0.0788436268068
9.0,HOMICIDE,0.183968462549
9.0,INTERFERENCE WITH PUBLIC OFFICER,0.630749014455
9.0,INTIMIDATION,0.0175208059571
9.0,KIDNAPPING,0.148926850635
9.0,LIQUOR LAW VIOLATION,0.192728865528
9.0,MOTOR VEHICLE THEFT,4.59921156373
9.0,NARCOTICS,9.39991239597
9.0,NON - CRIMINAL,0.00876040297854
9.0,NON-CRIMINAL (SUBJECT SPECIFIED),0.00876040297854
9.0,OBSCENITY,0.0175208059571
9.0,OFFENSE INVOLVING CHILDREN,0.823477879982
9.0,OTHER OFFENSE,5.88699080158
9.0,PROSTITUTION,0.148926850635
9.0,PUBLIC PEACE VIOLATION,1.36662286465
9.0,ROBBERY,3.39903635567
9.0,SEX OFFENSE,0.385457731056
9.0,STALKING,0.0613228208498
9.0,THEFT,20.7183530442
9.0,WEAPONS VIOLATION,1.20893561104
10.0,ARSON,0.207841284837
10.0,ASSAULT,6.85876239962
10.0,BATTERY,21.9839395371
10.0,BURGLARY,4.6008502598
10.0,CRIM SEXUAL ASSAULT,0.415682569674
10.0,CRIMINAL DAMAGE,10.4109589041
10.0,CRIMINAL TRESPASS,2.12564950402
10.0,DECEPTIVE PRACTICE,2.74917335853
10.0,GAMBLING,0.292867264998
10.0,HOMICIDE,0.188946622579
